participant-ID,age,formative-years,gender,nationality,occupation,attentiveMusic,casualMusic,musicYears,musicSinger,musicMistakes,musicDifferences,musicOutOfTime,musicOutOfTune,musicMusician,musicProduction,musicImportance,musicActivities,musicAddiction,musicNewMusic,musicSearch,musicGenre,musicEvoke,musicMemories,musicShiver,musicExcite,musicTalk
_awgetcubd,25-34,UNITED KINGDOM,Female,British,full-time-employment,0-15,0-15,0-1,sort-of-agree,sort-of-agree,not-sure,sort-of-agree,sort-of-agree,strongly-disagree,strongly-disagree,4,mostly-agree,mostly-agree,sort-of-disagree,strongly-disagree,Indie rock,mostly-agree,strongly-agree,sort-of-agree,mostly-agree,sort-of-disagree
_b8vl4l7fq,18-24,England,,British,university,2-4 hrs,4+ hrs,0-1,mostly-agree,mostly-agree,strongly-agree,strongly-agree,strongly-agree,strongly-disagree,mostly-agree,10,strongly-agree,strongly-agree,strongly-agree,strongly-agree,Abstract hip hop,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,strongly-agree
_bwzbudqq0,65,United States,male,USA,other,4+ hrs,0-15,10,strongly-agree,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,strongly-agree,mostly-agree,10,strongly-disagree,mostly-agree,strongly-agree,strongly-agree,variety,mostly-agree,strongly-agree,not-sure,mostly-agree,mostly-agree
_c0ghyfm7p,25-34,MEXICO,FEMALE,MEXICAN,university,0-15,1-2hrs,0-1,mostly-agree,sort-of-agree,sort-of-disagree,most-agree,mostly-agree,mostly-agree,strongly-disagree,8,sort-of-disagree,mostly-agree,mostly-agree,mostly-agree,POP,sort-of-disagree,mostly-agree,sort-of-disagree,strongly-agree,mostly-agree
_c1j1i459h,25-34,UK,Male,British,full-time-employment,0-15,2-4 hrs,6-10,strongly-agree,mostly-agree,strongly-agree,strongly-agree,strongly-agree,strongly-agree,strongly-agree,10,mostly-agree,mostly-agree,mostly-agree,mostly-agree,Electronic,strongly-disagree,mostly-agree,strongly-agree,strongly-agree,strongly-agree
_c30bxpudl,25-34,"MEXICO, CANADA",FEMALE,MEXICAN,full-time-employment,30-60,0-15,4-6,mostly-agree,sort-of-disagree,mostly-agree,sort-of-agree,sort-of-agree,mostly-agree,mostly-agree,8,mostly-agree,not-sure,mostly-agree,sort-of-agree,POP,strongly-disagree,strongly-agree,mostly-agree,strongly-agree,strongly-agree
_d04p09w3u,45-54,United Kingdom,Female,British,self-employment,2-4 hrs,15-30,10,strongly-agree,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,strongly-agree,sort-of-agree,10,not-sure,sort-of-agree,mostly-agree,mostly-agree,All,mostly-agree,strongly-agree,sort-of-agree,mostly-agree,strongly-agree
_d7gofvkcw,45-54,Italy and England,male,Italian,part-time-employment,1-2hrs,0-15,10,strongly-agree,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,mostly-agree,strongly-disagree,10,sort-of-agree,strongly-agree,mostly-agree,strongly-agree,Early/Classical Contemporary,strongly-disagree,strongly-agree,not-sure,sort-of-agree,strongly-agree
_dnrbxc2fc,18-24,Ukraine,Female,Ukrainian,other,15-30,2-4 hrs,0-1,mostly-agree,sort-of-disagree,strongly-agree,sort-of-agree,strongly-agree,not-sure,sort-of-disagree,10,mostly-agree,strongly-agree,strongly-agree,sort-of-agree,pop,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,strongly-agree
_dt5q0y2tq,25-34,England,Male,British,full-time-employment,1-2hrs,4+ hrs,2-4,sort-of-agree,sort-of-agree,mostly-agree,sort-of-agree,not-sure,mostly-agree,mostly-agree,7,sort-of-disagree,sort-of-disagree,sort-of-agree,sort-of-disagree,Indie,not-sure,strongly-agree,sort-of-disagree,sort-of-agree,sort-of-disagree
_edx1s71ct,25-34,UK,Male,British,full-time-employment,30-60,2-4 hrs,1-2,mostly-agree,sort-of-disagree,mostly-agree,sort-of-agree,sort-of-agree,mostly-agree,strongly-disagree,7,mostly-agree,sort-of-agree,mostly-agree,sort-of-disagree,Indie pop,sort-of-disagree,strongly-agree,sort-of-agree,mostly-agree,mostly-agree
_eju6op5qu,25-34,England (boo),Female,British,full-time-employment,30-60,4+ hrs,0-1,sort-of-agree,sort-of-agree,mostly-agree,sort-of-agree,sort-of-agree,strongly-disagree,mostly-agree,10,strongly-agree,strongly-agree,strongly-agree,strongly-agree,current is jazz house,mostly-agree,strongly-agree,sort-of-agree,strongly-agree,strongly-agree
_fnqpb5bv8,25-34,Britian,Male,British,full-time-employment,0-15,30-60,6-10,mostly-agree,mostly-agree,mostly-agree,mostly-agree,mostly-agree,mostly-agree,strongly-disagree,8,sort-of-disagree,sort-of-agree,sort-of-agree,sort-of-disagree,Folk,strongly-disagree,mostly-agree,mostly-agree,sort-of-agree,mostly-agree
_gaytybwu4,25-34,Wales,Female,British,full-time-employment,30-60,2-4 hrs,0-1,sort-of-agree,mostly-agree,sort-of-agree,most-agree,mostly-agree,strongly-disagree,sort-of-disagree,10,mostly-agree,strongly-agree,mostly-agree,sort-of-agree,House!!! (but also jazz house and more chilled vibes),strongly-disagree,strongly-agree,sort-of-agree,strongly-agree,mostly-agree
_hkwu0v6ct,25-34,England,Masculine,Mexican,university,0-15,1-2hrs,0-1,sort-of-agree,sort-of-agree,mostly-agree,not-sure,sort-of-disagree,mostly-agree,strongly-disagree,7,not-sure,mostly-agree,sort-of-disagree,sort-of-disagree,rock and roll,strongly-disagree,strongly-agree,mostly-agree,mostly-agree,mostly-agree
